gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,artfs,at,bkvlps,che,cogs,cshfd,csho,dlc,dltt,dt,dvc,ebit,ebitda,emp,epsfx,fincf,invt,ivncf,lct,lt,ni,oancf,pstk,revt,sale,seq,wcap,xint,xopr,costat,prcc_f,naics
187173,20141231,2014,INDL,C,D,STD,CAD,,,,,,,1.223,,,,,,,,,,,,,,,,,,,,,,,A,7.02,525910
187183,20141231,2014,INDL,C,D,STD,CAD,,243.412,2.2859,30.174,138.579,8.457,8.201,34.705,8.749,16.83,2.501,15.307,23.241,0.742,0.42,40.172,6.78,-52.452,73.925,86.829,12.578,24.588,102.796,161.82,161.82,121.543,39.83,0.819,138.579,A,12,523999
187200,20141231,2014,INDL,C,D,STD,USD,,1.11,0.0108,0.011,1.172,42.203,41.546,0.213,0.155,0.188,0,-1.942,-1.851,0.02,-0.04,1.882,0.559,-0.255,0.452,0.663,-1.54,-1.877,0,0.972,0.972,0.447,0.27,0.02,2.823,A,0.025,3361
187201,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,A,22.23,525910
187211,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,A,26.934,
187215,20141231,2014,INDL,C,D,STD,USD,,533.595,4.0828,199.148,276.362,73.3,76.573,0.752,2.263,3.015,0,-3.657,30.765,0.781,-0.78,-28.031,13.626,-9.723,174.312,220.966,-57.388,-23.395,0,387.735,387.735,312.629,155.598,,356.97,A,13.61,512120
187216,20140831,2014,INDL,C,D,STD,CAD,,1.008,0.0077,0.924,0,95.329,98.452,0.025,0,0,0,-1.303,-1.285,,-0.01,0.658,0,0,0.248,0.248,-1.356,-1.2,0,0,0,0.76,0.739,0.021,1.285,A,0.03,212221
187235,20141130,2014,INDL,C,D,STD,CAD,,26.023,0.3352,0.814,0.26,71.473,72.5,0,0,0,0,-5.172,-5.109,,-0.07,6.128,0,-0.638,1.47,1.722,-5.049,-4.864,0,0,0,24.301,-0.486,0,5.109,A,0.53,212221
187244,20141231,2014,INDL,C,D,STD,CAD,,34.704,1.1575,18.298,12.402,20.403,20.459,0,0,0,0,-11.258,-9.544,0.214,-0.58,-0.784,0,-0.02,10.144,11.023,-11.878,-10.648,0,25.842,25.842,23.681,17.455,0.126,35.386,A,1.25,511210
187245,20141231,2014,INDL,C,D,STD,CAD,,,,,,,2.386,,,,,,,,,,,,,,,,,,,,,,,A,8.95,525910
187248,20141231,2014,INDL,C,D,STD,CAD,,1.405,0.0222,0.513,1.719,16.967,17.641,0,0,0,0,-1.255,-1.135,,-0.08,-0.02,0.084,-0.273,1.014,1.014,-1.266,-0.815,0,0.584,0.584,0.391,-0.275,0.01,1.719,A,0.105,446191
187251,20141231,2014,INDL,C,D,STD,USD,,0.82,-0.3671,0.292,0,28.641,29.197,2.124,0,0,0,-5.169,-5.127,0.005,-0.16,2.218,0,0.212,5.617,5.617,-4.131,-3.321,0.007,0,0,-4.797,-5.166,0.104,5.127,A,0.4,325413
